,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
136,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1117, ,R4,240 EAST HOUSTON STREET,5D,10002,1,0,1, -  , -  ,0,2,R4, -  ,08/10/2016 0:00
137,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1302, ,R4,100 AVENUE A,2A,10009,1,0,1, -  , -  ,2014,2,R4,1680112,08/12/2016 0:00
138,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1303, ,R4,100 AVENUE A,2B,10009,1,0,1, -  , -  ,2014,2,R4,1150000,25/04/2017 0:00
139,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1304, ,R4,100 AVENUE A,2C,10009,1,0,1, -  , -  ,2014,2,R4,1308451,13/12/2016 0:00
140,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1305, ,R4,100 AVENUE A,2D,10009,1,0,1, -  , -  ,2014,2,R4,1863397,08/05/2017 0:00
141,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1306, ,R4,100 AVENUE A,2E,10009,1,0,1, -  , -  ,2014,2,R4,1603743,12/01/2017 0:00
142,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1307, ,R4,100 AVENUE A,3A,10009,1,0,1, -  , -  ,2014,2,R4,1781937,07/12/2016 0:00
143,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1308, ,R4,100 AVENUE A,3B,10009,1,0,1, -  , -  ,2014,2,R4,1245000,03/03/2017 0:00
144,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1309, ,R4,100 AVENUE A,3C,10009,1,0,1, -  , -  ,2014,2,R4,1200000,25/01/2017 0:00
145,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1310, ,R4,100 AVENUE A,3D,10009,1,0,1, -  , -  ,2014,2,R4,1900000,13/12/2016 0:00
146,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1311, ,R4,100 AVENUE A,3E,10009,1,0,1, -  , -  ,2014,2,R4,1150000,19/12/2016 0:00
147,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1312, ,R4,100 AVENUE A,4A,10009,1,0,1, -  , -  ,2014,2,R4,1800000,16/12/2016 0:00
148,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1313, ,R4,100 AVENUE A,4B,10009,1,0,1, -  , -  ,2014,2,R4,1318633,20/01/2017 0:00
149,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1314, ,R4,100 AVENUE A,4C,10009,1,0,1, -  , -  ,2014,2,R4,1385000,09/12/2016 0:00
150,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1315, ,R4,100 AVENUE A,4D,10009,1,0,1, -  , -  ,2014,2,R4, -  ,20/01/2017 0:00
151,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1315, ,R4,100 AVENUE A,4D,10009,1,0,1, -  , -  ,2014,2,R4,2150000,29/12/2016 0:00
152,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1316, ,R4,100 AVENUE A,4E,10009,1,0,1, -  , -  ,2014,2,R4,1236300,16/12/2016 0:00
153,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1317, ,R4,100 AVENUE A,5A,10009,1,0,1, -  , -  ,2014,2,R4,1934675,06/12/2016 0:00
154,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1318, ,R4,100 AVENUE A,5B,10009,1,0,1, -  , -  ,2014,2,R4,1237000,13/01/2017 0:00
155,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1319, ,R4,100 AVENUE A,5C,10009,1,0,1, -  , -  ,2014,2,R4,1461188,08/12/2016 0:00
156,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1320, ,R4,100 AVENUE A,5D,10009,1,0,1, -  , -  ,2014,2,R4,1957475,16/12/2016 0:00
157,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1321, ,R4,100 AVENUE A,5E,10009,1,0,1, -  , -  ,2014,2,R4,1221900,24/02/2017 0:00
158,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1322, ,R4,100 AVENUE A,6A,10009,1,0,1, -  , -  ,2014,2,R4,2250000,21/12/2016 0:00
159,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1323, ,R4,100 AVENUE A,6B,10009,1,0,1, -  , -  ,2014,2,R4,1495000,21/12/2016 0:00
160,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1324, ,R4,100 AVENUE A,6C,10009,1,0,1, -  , -  ,2014,2,R4,1310000,30/03/2017 0:00
161,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1325, ,R4,100 AVENUE A,6D,10009,1,0,1, -  , -  ,2014,2,R4,1934675,14/04/2017 0:00
162,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1326, ,R4,100 AVENUE A,6E,10009,1,0,1, -  , -  ,2014,2,R4,1250000,22/05/2017 0:00
163,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1327, ,R4,100 AVENUE A,7A,10009,1,0,1, -  , -  ,2014,2,R4,2611811,29/12/2016 0:00
164,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1328, ,R4,100 AVENUE A,7B,10009,1,0,1, -  , -  ,2014,2,R4,4159551,21/12/2016 0:00
165,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1329, ,R4,100 AVENUE A,7E,10009,1,0,1, -  , -  ,2014,2,R4,1303360,19/05/2017 0:00
166,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1330, ,R4,100 AVENUE A,PHA,10009,1,0,1, -  , -  ,2014,2,R4,2250000,08/02/2017 0:00
167,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1331, ,R4,100 AVENUE A,PHB,10009,1,0,1, -  , -  ,2014,2,R4,2392887,09/12/2016 0:00
168,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1332, ,R4,100 AVENUE A,PHC,10009,1,0,1, -  , -  ,2014,2,R4,1578287,06/12/2016 0:00
169,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,402,1333, ,R4,100 AVENUE A,PHE,10009,1,0,1, -  , -  ,2014,2,R4,1400093,30/01/2017 0:00
170,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1303, ,R4,525 EAST 11TH   STREET,3B,10009,1,0,1, -  , -  ,1965,2,R4,4552375,08/11/2016 0:00
171,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1309, ,R4,525 EAST 11TH   STREET,4B,10009,1,0,1, -  , -  ,1965,2,R4, -  ,08/11/2016 0:00
172,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1315, ,R4,525 EAST 11TH STREET,5B,10009,1,0,1, -  , -  ,1965,2,R4,750000,02/03/2017 0:00
173,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1322, ,R4,525 EAST 11TH STREET,6C,10009,1,0,1, -  , -  ,1965,2,R4,2385000,08/05/2017 0:00
174,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,406,1203, ,R4,536 EAST 13TH   STREET,2R,10009,1,0,1, -  , -  ,2013,2,R4,1400093,05/01/2017 0:00
175,1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,406,1207, ,R4,536 EAST 13TH   STREET,4R,10009,1,0,1, -  , -  ,2013,2,R4,1478499,11/10/2016 0:00
176,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,391,19, ,S3,624 EAST 9TH   STREET, ,10009,3,1,4,1520,3360,1910,2,S3,3300000,15/11/2016 0:00
177,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,393,4, ,S4,165 AVENUE B, ,10009,4,1,5,2201,5608,1900,2,S4,7215000,30/01/2017 0:00
178,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,394,5, ,S5,183 AVENUE B, ,10009,5,1,6,1779,3713,1910,2,S5,4750000,03/04/2017 0:00
179,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,394,5, ,S5,183 AVENUE B, ,10009,5,1,6,1779,3713,1910,2,S5, -  ,03/04/2017 0:00
180,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,372,1003, ,R1,296 EAST 2ND STREET,D,10009,1,0,1, -  , -  ,2003,2,R1,805000,06/09/2016 0:00
181,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,372,1004, ,R1,296 EAST 2ND   STREET,E,10009,1,0,1, -  , -  ,2003,2,R1,735000,28/11/2016 0:00
182,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,375,1105, ,R1,753 EAST 5TH   STREET,2A,10009,1,0,1, -  , -  ,2003,2,R1,810000,14/11/2016 0:00
183,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,375,1110, ,R1,753 EAST 5TH   STREET,4C,10009,1,0,1, -  , -  ,2003,2,R1, -  ,07/12/2016 0:00
184,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,384,1007, ,R1,211-213 EAST 2ND STREET,7,10009,1,0,1, -  , -  ,2005,2,R1,3035000,20/04/2017 0:00
185,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,394,1304, ,R1,619 EAST 11 STREET,2B,10009,1,0,1, -  , -  ,0,2,R1,630000,20/01/2017 0:00
186,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,394,1306, ,R1,619 EAST 11TH ST.,3B,10009,1,0,1, -  , -  ,0,2,R1,680000,05/05/2017 0:00
187,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,394,1401, ,R1,643 EAST 11TH,1,10009,1,0,1, -  , -  ,2006,2,R1, -  ,16/11/2016 0:00
188,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,394,1408, ,R1,643 EAST 11TH STREET,8,10009,1,0,1, -  , -  ,2006,2,R1,995000,18/07/2017 0:00
189,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,405,1108, ,R1,549 EAST 11TH STREET,B3,10009,1,0,1, -  , -  ,0,2,R1,494500,04/08/2017 0:00
190,1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,406,1104, ,R1,525 EAST 12TH STREET,4A,10009,1,0,1, -  , -  ,2007,2,R1,1875000,15/05/2017 0:00
191,1,ALPHABET CITY,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,384,1301, ,R8,209 EAST 2ND   STREET,1,10009,0,1,1, -  , -  ,1900,2,R8,2700000,31/07/2017 0:00
192,1,ALPHABET CITY,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,387,1001, ,R8,67 AVENUE C,C1,10009,0,1,1, -  , -  ,1951,2,R8,1500000,07/06/2017 0:00
193,1,ALPHABET CITY,17 CONDO COOPS                             ,2,389,1003, ,R9,"99 AVENUE B, 2A", ,10009,0,0,0, -  , -  ,1900,2,R9,635000,02/11/2016 0:00
194,1,ALPHABET CITY,17 CONDO COOPS                             ,2,389,1003, ,R9,"99 AVENUE B, 3A", ,10009,0,0,0, -  , -  ,1900,2,R9,700000,19/04/2017 0:00
195,1,ALPHABET CITY,17 CONDO COOPS                             ,2,389,1003, ,R9,"99 AVENUE B, 6BC", ,10009,0,0,0, -  , -  ,1900,2,R9,1100000,12/06/2017 0:00
196,1,ALPHABET CITY,17 CONDO COOPS                             ,2,389,1003, ,R9,"99 AVENUE B, 6ED", ,10009,0,0,0, -  , -  ,1900,2,R9,1900000,07/08/2017 0:00
197,1,ALPHABET CITY,17 CONDO COOPS                             ,2,398,1102, ,R9,"186 EAST 2ND   STREET, 8", ,10009,0,0,0, -  , -  ,1920,2,R9,485000,11/07/2017 0:00
198,1,ALPHABET CITY,17 CONDO COOPS                             ,2,399,1002, ,R9,"50 AVENUE A, 2D", ,10009,0,0,0, -  , -  ,1920,2,R9,1175000,01/02/2017 0:00
199,1,ALPHABET CITY,22 STORE BUILDINGS                         ,4,390,34, ,K4,115 AVENUE C, ,10009,0,1,1,1218,3586,1899,4,K4,3700000,28/09/2016 0:00
200,1,ALPHABET CITY,37 RELIGIOUS FACILITIES                    ,4,399,11, ,M9,206 EAST 4TH   STREET, ,10009,0,1,1,32246,39246,1900,4,M9, -  ,13/01/2017 0:00
201,1,ALPHABET CITY,37 RELIGIOUS FACILITIES                    ,4,399,51, ,M3,173 EAST 3RD   STREET, ,10009,0,1,1,3408,13632,1900,4,M3, -  ,13/01/2017 0:00
202,1,ALPHABET CITY,42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC  , ,394,1601, , ,183-189 AVENUE B, ,0,0,0,0, -  , -  ,0,4,RA, -  ,09/08/2017 0:00
203,1,ALPHABET CITY,46 CONDO STORE BUILDINGS                   ,4,384,1201, ,RK,310 EAST HOUSTON STREET,COM,10002,0,0,1, -  , -  ,2005,4,RK,10800000,10/03/2017 0:00
204,1,ALPHABET CITY,46 CONDO STORE BUILDINGS                   ,4,397,1302, ,RK,250 EAST HOUSTON STREET,UNIT2,10002,0,0,1, -  , -  ,1989,4,RK,52625000,19/10/2016 0:00
205,1,ALPHABET CITY,46 CONDO STORE BUILDINGS                   ,4,397,1303, ,RK,250 EAST HOUSTON STREET,UNIT3,10002,0,0,1, -  , -  ,1989,4,RK, -  ,19/10/2016 0:00
206,1,ALPHABET CITY,47 CONDO NON-BUSINESS STORAGE              ,4,378,1031, ,RS,399 EAST 8TH   STREET,S1,10009,0,0,1, -  , -  ,2014,4,RS, -  ,14/07/2017 0:00
207,1,ALPHABET CITY,47 CONDO NON-BUSINESS STORAGE              ,4,378,1033, ,RS,399 EAST 8TH   STREET,S3,10009,0,0,1, -  , -  ,2014,4,RS, -  ,14/07/2017 0:00
208,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,766,13, ,A9,251 WEST 16TH   STREET, ,10011,1,0,1,1360,2736,1910,1,A9, -  ,06/01/2017 0:00
209,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,766,13, ,A9,251 WEST 16TH   STREET, ,10011,1,0,1,1360,2736,1910,1,A9, -  ,20/10/2016 0:00
210,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,771,52, ,A9,224 WEST 22ND   STREET, ,10011,1,0,1,1975,3855,1901,1,A9,7425000,30/12/2016 0:00
211,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,772,29, ,A4,231 WEST 22ND   STREET, ,10011,1,0,1,1588,5653,1900,1,A4,10,30/01/2017 0:00
212,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,772,29, ,A4,231 WEST 22ND   STREET, ,10011,1,0,1,1588,5653,1900,1,A4,10,30/01/2017 0:00
213,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,772,29, ,A4,231 WEST 22ND   STREET, ,10011,1,0,1,1588,5653,1900,1,A4,10,30/01/2017 0:00
214,1,CHELSEA,02 TWO FAMILY DWELLINGS                    ,1,743,61, ,B3,328 WEST 20TH STREET, ,10011,2,0,2,1526,3168,1910,1,B3, -  ,24/02/2017 0:00
215,1,CHELSEA,02 TWO FAMILY DWELLINGS                    ,1,766,18, ,B1,241 WEST 16TH   STREET, ,10011,2,0,2,2000,2520,1901,1,B1, -  ,28/03/2017 0:00
216,1,CHELSEA,02 TWO FAMILY DWELLINGS                    ,1,769,49, ,S2,218 WEST 20TH   STREET, ,10011,2,1,3,2150,4978,1920,1,S2,7750000,17/04/2017 0:00
217,1,CHELSEA,03 THREE FAMILY DWELLINGS                  ,1,717,47, ,C0,406 WEST 20TH STREET, ,10011,3,0,3,2227,3696,1901,1,C0, -  ,31/01/2017 0:00
218,1,CHELSEA,03 THREE FAMILY DWELLINGS                  ,1,719,67, ,C0,444 WEST 22ND STREET, ,10011,3,0,3,2469,3725,1901,1,C0,8300000,02/02/2017 0:00
219,1,CHELSEA,04 TAX CLASS 1 CONDOS                      ,1C,791,1002, ,R6,121 WEST 15TH STREET,2,10011,1,0,1, -  , -  ,1920,1,R6,2850000,20/04/2017 0:00
220,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,696,37, ,C4,253 10TH   AVENUE, ,10001,6,1,7,1463,3762,1901,2,C4,16000000,08/09/2016 0:00
221,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,719,47, ,C5,406 WEST 22ND   STREET, ,10011,10,0,10,1026,3990,1900,2,C5, -  ,12/06/2017 0:00
222,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,722,6, ,C3,459 WEST 24TH   STREET, ,10011,4,0,4,2057,2890,1910,2,C3,5950000,26/10/2016 0:00
223,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2,743,56, ,C5,318 WEST 20TH STREET, ,10011,24,0,24,2307,4500,1900,2,C5,7375000,06/02/2017 0:00
224,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,745,63, ,C3,348 WEST 22ND STREET, ,10011,4,0,4,2057,3042,1900,2,C3,8000000,06/02/2017 0:00
225,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2,764,68, ,C4,256 WEST 15TH STREET, ,10011,22,2,24,2581,13056,1901,2,C4,14100000,23/03/2017 0:00
226,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25, ,C4,219 WEST 15TH STREET, ,10011,9,0,9,1566,6330,1901,2,C4,1583840,31/08/2017 0:00
227,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25, ,C4,219 WEST 15TH STREET, ,10011,9,0,9,1566,6330,1901,2,C4,416790,31/08/2017 0:00
228,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25, ,C4,219 WEST 15TH STREET, ,10011,9,0,9,1566,6330,1901,2,C4,630370,31/08/2017 0:00
229,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,765,26, ,C3,217 WEST 15TH  STREET, ,10011,4,0,4,2065,4500,1901,2,C3, -  ,27/07/2017 0:00
230,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,770,3, ,C4,202 8TH AVE, ,10011,8,1,9,1500,6200,1901,2,C4, -  ,12/09/2016 0:00
231,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,770,53, ,C1,222 WEST 21ST   STREET, ,10011,9,0,9,2029,8540,1920,2,C1,29400000,10/11/2016 0:00
232,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2,770,54, ,C1,224 WEST 21ST   STREET, ,10011,16,0,16,2927,11580,1920,2,C1, -  ,10/11/2016 0:00
233,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,772,30, ,C1,229 WEST 22ND   STREET, ,10011,8,0,8,1588,3600,1910,2,C1, -  ,28/10/2016 0:00
234,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,790,8, ,C7,149 WEST 14TH STREET, ,10011,8,1,9,2581,7650,1920,2,C7,6450000,02/02/2017 0:00
235,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2,790,9, ,C7,147 WEST 14TH STREET, ,10011,15,1,16,2077,6335,1901,2,C7,5500000,02/02/2017 0:00
236,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,790,10, ,C7,145 WEST 14TH STREET, ,10011,8,1,9,1952,5955,1920,2,C7,5750000,02/02/2017 0:00
237,1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,790,63, ,C1,148 WEST 15TH   STREET, ,10011,8,0,8,2000,4100,1910,2,C1,3485000,05/12/2016 0:00
238,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,2B,695,6, ,D6,559 WEST 23RD   STREET, ,10011,6,1,7,2469,19892,2014,2,D6,4600000,29/11/2016 0:00
239,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,2,700,27, ,D6,509 WEST 28TH   STREET, ,10001,210,1,211,12344,269584,2014,2,D6, -  ,25/05/2017 0:00
240,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,2,700,42, ,D6,512 WEST 29TH   STREET, ,10001,210,1,211,4937,269584,2014,2,D6, -  ,25/05/2017 0:00
241,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,2,700,44, ,D6,516 WEST 29TH   STREET, ,10001,210,1,211,2468,269584,2014,2,D6, -  ,25/05/2017 0:00
242,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,2,700,45, ,D6,518 WEST 29TH   STREET, ,10001,210,1,211,4937,269584,2014,2,D6, -  ,25/05/2017 0:00
243,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,2,794,11, ,D7,155 WEST 18TH, ,10011,30,2,32,10053,78882,2014,2,D7,2341975,28/10/2016 0:00
244,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,717,61, ,C6,"434 WEST 20TH STREET, 8", ,10011,0,0,0, -  , -  ,1920,2,C6,1835000,06/06/2017 0:00
245,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,717,70, ,C6,"452 WEST 20TH, THIRD", ,10011,0,0,0, -  , -  ,1910,2,C6,700000,23/12/2016 0:00
246,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,719,34, ,C6,"409 WEST 21ST STREET, 4", ,10011,0,0,0, -  , -  ,1900,2,C6,1587500,31/07/2017 0:00
247,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,719,36, ,C6,"405 WEST 21 STREET, 1F", ,10011,0,0,0, -  , -  ,1900,2,C6,310000,21/11/2016 0:00
248,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,719,36, ,C6,"405 WEST 21ST STREET, 3F", ,10011,0,0,0, -  , -  ,1900,2,C6,550000,27/01/2017 0:00
249,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,21, ,C6,"453 WEST 22ND STREET, 3R", ,10011,0,0,0, -  , -  ,1900,2,C6,354500,26/09/2016 0:00
250,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,34, ,C6,"429 WEST 22ND STREET, 4-G", ,10011,0,0,0, -  , -  ,1850,2,C6,1750000,25/01/2017 0:00
251,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,42, ,C6,"411 WEST 22ND STREET, 1R", ,10011,0,0,0, -  , -  ,1900,2,C6,485000,21/02/2017 0:00
252,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,42, ,C6,"411 WEST 22ND   STREET, 1F", ,10011,0,0,0, -  , -  ,1900,2,C6,1425000,24/02/2017 0:00
253,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,65, ,C6,"436 WEST 23RD   STREET, 16F", ,10011,0,0,0, -  , -  ,1900,2,C6,705000,06/10/2016 0:00
254,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,66, ,C6,"438 WEST 23RD STREET, A", ,10011,0,0,0, -  , -  ,1900,2,C6,2575000,25/08/2017 0:00
255,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,70, ,C6,"446 WEST 23RD STREET, C", ,10011,0,0,0, -  , -  ,1905,2,C6,2200000,07/09/2016 0:00
256,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,720,76, ,C6,"458-460 WEST 23RD STREET, 4A", ,10011,0,0,0, -  , -  ,1900,2,C6,1525000,30/11/2016 0:00
257,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,722,13, ,C6,"443-445 WEST 24TH STREET, A", ,10011,0,0,0, -  , -  ,1900,2,C6, -  ,16/02/2017 0:00
258,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2C,722,13, ,C6,"443 WEST 24TH STREET, H", ,10011,0,0,0, -  , -  ,1900,2,C6,1750000,01/03/2017 0:00
259,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,722,46, ,C6,"408 WEST 25TH STREET, 2FW", ,10001,0,0,0, -  , -  ,1910,2,C6,289000,31/10/2016 0:00
260,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,722,47, ,C6,"410 WEST 25TH   STREET, 2B", ,10001,0,0,0, -  , -  ,1910,2,C6,670000,28/10/2016 0:00
261,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,722,47, ,C6,"410 WEST 25TH STREET, 4A", ,10001,0,0,0, -  , -  ,1910,2,C6,699000,16/11/2016 0:00
262,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,740,45, ,C6,"324 WEST 17TH STREET, 5W", ,10011,0,0,0, -  , -  ,1910,2,C6, -  ,13/01/2017 0:00
263,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,740,46, ,C6,"326 WEST 17TH STREET, 2W", ,10011,0,0,0, -  , -  ,1910,2,C6,180000,30/11/2016 0:00
264,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,740,46, ,C6,"326 WEST 17 STREET, 3E", ,10011,0,0,0, -  , -  ,1910,2,C6, -  ,20/12/2016 0:00
265,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,740,47, ,C6,"328 WEST 17TH STREET, 5E", ,10011,0,0,0, -  , -  ,1900,2,C6,1237500,18/11/2016 0:00
266,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,740,48, ,C6,"330 WEST 17TH STREET, 4W", ,10011,0,0,0, -  , -  ,1900,2,C6,1300000,19/06/2017 0:00
267,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,740,50, ,C6,"334 WEST 17TH   STREET, BE", ,10011,0,0,0, -  , -  ,1900,2,C6,592500,29/09/2016 0:00
268,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,741,41, ,C6,"310 WEST 18TH   STREET, 5B", ,10011,0,0,0, -  , -  ,1900,2,C6,311000,29/12/2016 0:00
269,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,741,41, ,C6,"310 WEST 18TH STREET, 1CGDN", ,10011,0,0,0, -  , -  ,1900,2,C6,770000,03/04/2017 0:00
270,1,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,741,41, ,C6,"310 WEST 18TH   STREET, 3A", ,10011,0,0,0, -  , -  ,1900,2,C6,560000,19/06/2017 0:00
